from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopArea:OCE87391003, StopArea:OCE87686006, 2, 2700
StopArea:OCE87391003, StopArea:OCE87271007, 2, 2700
StopArea:OCE87391003, StopArea:OCE87547000, 2, 2700
StopArea:OCE87391003, StopArea:OCE87113001, 2, 2700
StopArea:OCE87391003, StopArea:OCE87384008, 2, 2700
StopArea:OCE87391003, StopArea:OCE87686667, 2, 2700
StopArea:OCE87686006, StopArea:OCE87391003, 2, 2700
StopArea:OCE87686006, StopArea:OCE87271007, 2, 2700
StopArea:OCE87686006, StopArea:OCE87547000, 2, 2700
StopArea:OCE87686006, StopArea:OCE87113001, 2, 2700
StopArea:OCE87686006, StopArea:OCE87384008, 2, 2700
StopArea:OCE87686006, StopArea:OCE87686667, 2, 2700
StopArea:OCE87271007, StopArea:OCE87686006, 2, 2700
StopArea:OCE87271007, StopArea:OCE87391003, 2, 2700
StopArea:OCE87271007, StopArea:OCE87547000, 2, 2700
StopArea:OCE87271007, StopArea:OCE87113001, 2, 2700
StopArea:OCE87271007, StopArea:OCE87384008, 2, 2700
StopArea:OCE87271007, StopArea:OCE87686667, 2, 2700
StopArea:OCE87547000, StopArea:OCE87686006, 2, 2700
StopArea:OCE87547000, StopArea:OCE87271007, 2, 2700
StopArea:OCE87547000, StopArea:OCE87391003, 2, 2700
StopArea:OCE87547000, StopArea:OCE87113001, 2, 2700
StopArea:OCE87547000, StopArea:OCE87384008, 2, 2700
StopArea:OCE87547000, StopArea:OCE87686667, 2, 2700
StopArea:OCE87113001, StopArea:OCE87686006, 2, 2700
StopArea:OCE87113001, StopArea:OCE87271007, 2, 2700
StopArea:OCE87113001, StopArea:OCE87547000, 2, 2700
StopArea:OCE87113001, StopArea:OCE87391003, 2, 2700
StopArea:OCE87113001, StopArea:OCE87384008, 2, 2700
StopArea:OCE87113001, StopArea:OCE87686667, 2, 2700
StopArea:OCE87384008, StopArea:OCE87686006, 2, 2700
StopArea:OCE87384008, StopArea:OCE87271007, 2, 2700
StopArea:OCE87384008, StopArea:OCE87547000, 2, 2700
StopArea:OCE87384008, StopArea:OCE87391003, 2, 2700
StopArea:OCE87384008, StopArea:OCE87686667, 2, 2700
StopArea:OCE87686667, StopArea:OCE87686006, 2, 2700
StopArea:OCE87686667, StopArea:OCE87271007, 2, 2700
StopArea:OCE87686667, StopArea:OCE87547000, 2, 2700
StopArea:OCE87686667, StopArea:OCE87391003, 2, 2700
StopArea:OCE87722025, StopArea:OCE87723197, 2, 2700
StopArea:OCE87723197, StopArea:OCE87722025, 2, 2700

